path	sha256	size_bytes	file_kind	review_method	security_domains	review_status	finding_ids	notes	reviewed_at
.gitattributes	a9102c62898a0f2f2573f47e67e71311bde5ced7cec9b1af2826ed1d3b8e6a06	708	repository_config	repository/build/config metadata review; secret-pattern scan; role/provenance review	repository-metadata,build-contracts,supply-chain	reviewed		Reviewed for repository behavior, generated/binary absence, and security-sensitive configuration.	2026-07-14T22:16:00Z
.github/workflows/ci.yml	4ff7b3399042028ccb250bcbfcb60cc4df2fc59600415c7e3de7283acaed595b	1511	yaml_config	CI workflow review; action pinning and permission review; CI-equivalent local commands	ci-supply-chain,permissions,build-test-contracts	reviewed		Workflow uses read-only permissions and SHA-pinned actions; local CI-equivalent commands run in WSL.	2026-07-14T22:16:00Z
.gitignore	6f852e609840f3b3bf679ced14cf1a926afbc04e2ad4a4a43435c767849643c6	562	repository_config	repository/build/config metadata review; secret-pattern scan; role/provenance review	repository-metadata,build-contracts,supply-chain	reviewed		Reviewed for repository behavior, generated/binary absence, and security-sensitive configuration.	2026-07-14T22:16:00Z
.golangci.yml	51e0c058a404d7fd11587908ba7ddf3d76fa386db293f79090fc79b7fc995bf4	653	yaml_config	repository/build/config metadata review; secret-pattern scan; role/provenance review	repository-metadata,build-contracts,supply-chain	reviewed		Reviewed for repository behavior, generated/binary absence, and security-sensitive configuration.	2026-07-14T22:16:00Z
cmd/nodex/main.go	ed0eac471d3aff165a06ea340ec4a71a7cfca9cf09b5c3ec9258d99c31e911fd	1581	go_source	manual source review; grep/data-flow tracing; go test/vet/staticcheck/gosec/govulncheck	credentials,redaction,transport,tls,redirects,proxmox-targeting,mutation-safety,tasks,output,filesystem,concurrency	reviewed		Go source reviewed by package/domain with dangerous-primitive search, call-chain tracing, automated checks, and changed-line review where modified.	2026-07-14T22:16:00Z
CONTRIBUTING.md	cf8912bf65d2130dd5ad3c67de4be65761fb8b9d9d153578f42d11ce239f04c9	5020	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/architecture.md	35f4184cc7f80f4a17d73cb4fd92dfbf1dd9feb4021878ea702dbd0cf5890ab5	13720	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/cli-reference.md	71c35e299d749c4771ad4c54fb08592058ea140554da859e97272dbff8acde11	18681	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/compatibility.md	c5285d2b157f822a809a69df486e4e4b663e66eafae831f10c96341adc2fe84f	8121	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/configuration.md	645f319af4eab36258d80d85bf32db8fe0e8420084aecb1c0e14b1f83b1c06e3	6220	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/nodex.1	628a95acfc2de823b8040bad0b4154374cd92c2390d1279fa81ebab9e7dd26bc	15715	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/product_requirements.md	bb42458971ae9add3d09dca3ad2af2de596a5c62929fecfafb4fc52573c4b0f1	9543	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/product-principles.md	6bf5214f9f53ba4bbc35f5b5b2edb7d6ba0f594286866ed5a5fb4e6209c4985b	5929	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/residual-risks.md	dae9347487aaf1550aaae95bd50eb75814b262fe51ebe5e1007099c728432f14	14547	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/test-coverage.md	af6f16124108ebad12afaf6bfe338c362df101ade94626268d63c73468b23a69	16287	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
docs/threat-model.md	47c61d52156f6228ab1a17445bd05614fa8f0b1b356f336c1306467e68247926	15656	documentation	documentation security-contract review; command/reference consistency check; secret-pattern scan	security-documentation,proxmox-safety,configuration,operator-guidance,live-validation-boundaries	reviewed		Reviewed for current behavior, unsafe examples, live-target warnings, and credential disclosure guidance.	2026-07-14T22:16:00Z
go.mod	ab8ada07d7d5fdf8d102469aca8850c6d9259ef618f9aad95b726b5680ce0bf5	330	go_module_metadata	dependency manifest review; go mod verify; govulncheck; gosec; module listing	dependencies,supply-chain,vulnerability-management	reviewed		Dependency metadata verified and scanned; no runtime dependency changes made.	2026-07-14T22:16:00Z
go.sum	c70eec5b5e4824d913f873e85ec5c1594040ca06b86cdf43c90c14b6e8237c2b	1103	go_module_metadata	dependency manifest review; go mod verify; govulncheck; gosec; module listing	dependencies,supply-chain,vulnerability-management	reviewed		Dependency metadata verified and scanned; no runtime dependency changes made.	2026-07-14T22:16:00Z
