command	aliases	provider	http_method	endpoint	request_body	target_fields	required_capability	required_permissions	operation_class	reversible	idempotent	async_task	guest_disruption	data_loss_risk	host_or_cluster_risk	retry_policy	confirmation_policy	dry_run_behavior	success_criteria	unknown_outcome_behavior	recovery	source_locations	test_locations
Version		proxmox	GET	/version	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:133	client/provider/cli tests; see coverage ledger and test matrix
GetNodeStatus		proxmox	GET	/nodes/{node}/status	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:187	client/provider/cli tests; see coverage ledger and test matrix
Nodes		proxmox	GET	/nodes	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:200	client/provider/cli tests; see coverage ledger and test matrix
ClusterResources		proxmox	GET	/cluster/resources	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:209	client/provider/cli tests; see coverage ledger and test matrix
GetClusterStatus		proxmox	GET	/cluster/status	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:218	client/provider/cli tests; see coverage ledger and test matrix
GetVMConfig		proxmox	GET	/nodes/{node}/qemu/{vmid}/config	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:227	client/provider/cli tests; see coverage ledger and test matrix
GetContainerConfig		proxmox	GET	/nodes/{node}/lxc/{vmid}/config	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:243	client/provider/cli tests; see coverage ledger and test matrix
GetStorageContent		proxmox	GET	/nodes/{node}/storage/{storage}/content	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:259	client/provider/cli tests; see coverage ledger and test matrix
GetTasks		proxmox	GET	/nodes/{node}/tasks	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:275	client/provider/cli tests; see coverage ledger and test matrix
GetTask		proxmox	GET	/nodes/{node}/tasks/{upid}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:288	client/provider/cli tests; see coverage ledger and test matrix
GetVMSnapshots		proxmox	GET	/nodes/{node}/qemu/{vmid}/snapshot	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:304	client/provider/cli tests; see coverage ledger and test matrix
GetContainerSnapshots		proxmox	GET	/nodes/{node}/lxc/{vmid}/snapshot	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:320	client/provider/cli tests; see coverage ledger and test matrix
GetEvents		proxmox	GET	/cluster/events	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:336	client/provider/cli tests; see coverage ledger and test matrix
GetSyslog		proxmox	GET	/nodes/{node}/syslog	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:345	client/provider/cli tests; see coverage ledger and test matrix
GetBackupStatus		proxmox	GET	/nodes/{node}/tasks	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:358	client/provider/cli tests; see coverage ledger and test matrix
GetFirewallRules		proxmox	GET	/cluster/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:379	client/provider/cli tests; see coverage ledger and test matrix
GetHAResources		proxmox	GET	/cluster/ha/resources	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:388	client/provider/cli tests; see coverage ledger and test matrix
GetHAGroups		proxmox	GET	/cluster/ha/groups	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:397	client/provider/cli tests; see coverage ledger and test matrix
GetNodeServices		proxmox	GET	/nodes/{node}/services	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:406	client/provider/cli tests; see coverage ledger and test matrix
GetNodeNetwork		proxmox	GET	/nodes/{node}/network	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:419	client/provider/cli tests; see coverage ledger and test matrix
GetNodeDNS		proxmox	GET	/nodes/{node}/dns	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:432	client/provider/cli tests; see coverage ledger and test matrix
GetNodeTime		proxmox	GET	/nodes/{node}/time	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:445	client/provider/cli tests; see coverage ledger and test matrix
GetNodeDisks		proxmox	GET	/nodes/{node}/disks/list	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:458	client/provider/cli tests; see coverage ledger and test matrix
GetNodeCertificates		proxmox	GET	/nodes/{node}/certificates	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:471	client/provider/cli tests; see coverage ledger and test matrix
GetNodeSubscription		proxmox	GET	/nodes/{node}/subscription	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:484	client/provider/cli tests; see coverage ledger and test matrix
GetNodeUpdates		proxmox	GET	/nodes/{node}/updates	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:497	client/provider/cli tests; see coverage ledger and test matrix
GetFirewallAliases		proxmox	GET	/cluster/firewall/aliases	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:510	client/provider/cli tests; see coverage ledger and test matrix
GetFirewallIPSets		proxmox	GET	/cluster/firewall/ipset	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:519	client/provider/cli tests; see coverage ledger and test matrix
GetFirewallIPSetEntries		proxmox	GET	/cluster/firewall/ipset/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:528	client/provider/cli tests; see coverage ledger and test matrix
GetFirewallSecurityGroups		proxmox	GET	/cluster/firewall/groups	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:541	client/provider/cli tests; see coverage ledger and test matrix
GetFirewallOptions		proxmox	GET	/cluster/firewall/options	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:550	client/provider/cli tests; see coverage ledger and test matrix
GetNodeFirewallRules		proxmox	GET	/nodes/{node}/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:559	client/provider/cli tests; see coverage ledger and test matrix
